price,millage,year,make,model,city,state,accidents,owners,use
18690,19951,2019,Honda,Accord, Elmhurst, NY,0,1.0,Personal
7800,62151,2013,Ford,Escape, Bayonne, NJ,1,4.0,Personal
21497,34842,2019,Chevrolet,Express Passenger, New York, NY,0,1.0,Personal
15542,52796,2017,GMC,Savana Cargo Van, Carlstadt, NJ,0,1.0,Personal
8950,107450,2016,Kia,Sedona, Brooklyn, NY,4,2.0,Fleet
22742,75293,2018,Ford,F-150, Carlstadt, NJ,1,1.0,Personal
10972,120080,2010,BMW,5 Series, Jersey City, NJ,0,2.0,Personal
16978,101879,2012,Mercedes-Benz,S-Class, Jersey City, NJ,0,3.0,Fleet
12995,75491,2015,Nissan,Rogue, Union City, NJ,0,1.0,Personal
10495,113812,2013,BMW,X3, Newark, NJ,0,2.0,Personal
11995,58741,2013,Subaru,Forester, Union City, NJ,0,1.0,Personal
13995,41883,2016,Hyundai,Sonata, Union City, NJ,0,2.0,Personal
188500,1849,2018,Porsche,911, New York, NY,0,1.0,Personal
9772,57986,2014,Volkswagen,Jetta, Jersey City, NJ,0,2.0,Personal
23297,21291,2019,Nissan,Frontier, Jersey City, NJ,0,1.0,Personal
24797,17734,2020,Chevrolet,Equinox, Jersey City, NJ,0,1.0,Personal
12995,47442,2017,Hyundai,Sonata, Union City, NJ,0,1.0,Personal
12397,30266,2019,Hyundai,Accent, Jersey City, NJ,0,1.0,Personal
4995,131980,2008,Jeep,Liberty, Union City, NJ,0,3.0,Personal
19488,78644,2016,Land,Rover Discovery Sport, Jersey City, NJ,1,1.0,Fleet
10972,70079,2009,BMW,1 Series, Jersey City, NJ,0,2.0,Personal
32797,31673,2019,Jeep,Wrangler, Jersey City, NJ,0,1.0,Personal
20997,37987,2019,GMC,Terrain, Jersey City, NJ,0,1.0,Personal
31497,31198,2019,Toyota,4Runner, Jersey City, NJ,0,1.0,Personal
19792,80062,2012,Audi,A7, Jersey City, NJ,0,3.0,Personal
9999,80548,2011,Toyota,RAV4, Union City, NJ,0,3.0,Fleet
43972,107620,2010,Mercedes-Benz,G-Class, Jersey City, NJ,1,3.0,Personal
14897,20886,2019,Volkswagen,Jetta, Jersey City, NJ,0,1.0,Personal
34497,30164,2019,Ford,Explorer, Jersey City, NJ,0,1.0,Personal
32797,20575,2019,Jeep,Grand Cherokee, Jersey City, NJ,0,1.0,Personal
30497,31244,2019,Ford,Explorer, Jersey City, NJ,1,1.0,Personal
7800,62151,2013,Ford,Escape, Bayonne, NJ,1,4.0,Personal
12999,95113,2015,Toyota,Sienna, Union City, NJ,0,1.0,Personal
17497,105804,2012,Mercedes-Benz,CLS, Jersey City, NJ,1,1.0,Personal
12999,57743,2017,Nissan,Altima, Union City, NJ,0,1.0,Personal
9972,87766,2011,Jeep,Liberty, Jersey City, NJ,0,1.0,Personal
23505,44255,2014,Toyota,4Runner, Elizabeth, NJ,0,4.0,Personal
15908,27635,2017,Nissan,Rogue, Hillside, NJ,0,2.0,Fleet
11972,88340,2010,Mercedes-Benz,CLS, Jersey City, NJ,0,6.0,Fleet
14750,37080,2019,Toyota,Camry, Bronx, NY,0,2.0,Personal
14505,21484,2017,Honda,Accord, Elizabeth, NJ,0,1.0,Personal
6450,119128,2006,Nissan,Armada, Brooklyn, NY,1,3.0,Personal
6995,99841,2012,Ford,Transit Connect Van, Jamaica, NY,1,1.0,Personal
7999,123551,2016,Nissan,Altima, Irvington, NJ,0,1.0,Fleet
17495,46675,2015,Ford,Edge, Union City, NJ,0,1.0,Personal
16990,54734,2017,Acura,RDX, Elmhurst, NY,0,1.0,Personal
14990,19318,2017,Toyota,RAV4, Elmhurst, NY,0,1.0,Personal
29000,31591,2017,Ford,F-150, Butler, NJ,0,1.0,Fleet
9500,82350,2013,Toyota,RAV4, Linden, NJ,1,1.0,Fleet
37995,7360,2019,Lexus,RX, New York, NY,0,1.0,Personal
8995,165023,2010,Mercedes-Benz,E-Class, Newark, NJ,0,1.0,Personal
13881,34631,2019,Volkswagen,Jetta, New York, NY,0,1.0,Personal
14777,28902,2017,Honda,Accord, Union, NJ,0,1.0,Personal
11995,100704,2012,Volkswagen,Touareg, Bayonne, NJ,1,2.0,Fleet
15797,27494,2019,Mitsubishi,Eclipse Cross, Jersey City, NJ,0,1.0,Personal
1995,197486,1998,Toyota,Camry, Staten Island, NY,1,3.0,Fleet
21995,92517,2015,Mercedes-Benz,GL, Union City, NJ,1,1.0,Personal
6895,100909,2011,Toyota,Prius, Saddle Brook, NJ,1,2.0,Personal
18995,76342,2008,Ford,Super Duty F-450 Chassis Cab, Hasbrouck Heights, NJ,0,2.0,Personal
14905,29103,2017,Acura,TLX, Elizabeth, NJ,1,1.0,Personal
16995,93783,2017,Subaru,Outback, Emerson, NJ,0,1.0,Personal
17995,90750,2018,Honda,Accord, Long Island City, NY,0,1.0,Personal
19197,20999,2019,Dodge,Journey, Jersey City, NJ,0,1.0,Personal
12995,39667,2015,Chevrolet,Equinox, Union City, NJ,0,1.0,Personal
16990,51210,2017,Honda,Civic, Brooklyn, NY,0,1.0,Personal
10995,39815,2019,Nissan,Sentra, Rahway, NJ,1,1.0,Personal
21597,14166,2019,Toyota,Prius, Jersey City, NJ,0,1.0,Personal
14792,69258,2014,Mercedes-Benz,C-Class, Jersey City, NJ,2,3.0,Personal
7950,152646,2010,Audi,A5, Brooklyn, NY,1,2.0,Personal
14995,112329,2015,Ford,Explorer, Newark, NJ,0,1.0,Personal
26995,71255,2012,BMW,X6 M, Newark, NJ,1,1.0,Personal
19990,87041,2014,Audi,Q7, Jersey City, NJ,0,3.0,Personal
18297,22029,2019,Chevrolet,Impala, New York, NY,0,1.0,Personal
11950,91591,2008,Land,Rover Range Rover, Brooklyn, NY,0,3.0,Personal
22792,64963,2014,BMW,X6, Jersey City, NJ,0,2.0,Fleet
37990,9522,2019,Lexus,RX, New York, NY,0,1.0,Personal
25197,23732,2019,Nissan,Frontier, Jersey City, NJ,0,1.0,Personal
9990,116299,2010,Acura,TL, Jersey City, NJ,0,2.0,Personal
11995,34009,2019,Chevrolet,Cruze, Union City, NJ,0,1.0,Fleet
22686,59360,2016,Audi,S3, Secaucus, NJ,1,1.0,Personal
