price,millage,location,year,make,model,city,state,accidents,owners,use,name
14792,69258,"Jersey City,  NJ",2014,Mercedes-Benz,C-Class,Jersey City, NJ,2,3.0,Personal,Mercedes-Benz C-Class
7950,152646,"Brooklyn,  NY",2010,Audi,A5,Brooklyn, NY,1,2.0,Personal,Audi A5
14995,112329,"Newark,  NJ",2015,Ford,Explorer,Newark, NJ,0,1.0,Personal,Ford Explorer
26995,71255,"Newark,  NJ",2012,BMW,X6 M,Newark, NJ,1,1.0,Personal,BMW X6 M
19990,87041,"Jersey City,  NJ",2014,Audi,Q7,Jersey City, NJ,0,3.0,Personal,Audi Q7
18297,22029,"New York,  NY",2019,Chevrolet,Impala,New York, NY,0,1.0,Personal,Chevrolet Impala
11950,91591,"Brooklyn,  NY",2008,Land,Rover Range Rover,Brooklyn, NY,0,3.0,Personal,Land Rover Range Rover
22792,64963,"Jersey City,  NJ",2014,BMW,X6,Jersey City, NJ,0,2.0,Fleet,BMW X6
37990,9522,"New York,  NY",2019,Lexus,RX,New York, NY,0,1.0,Personal,Lexus RX
25197,23732,"Jersey City,  NJ",2019,Nissan,Frontier,Jersey City, NJ,0,1.0,Personal,Nissan Frontier
9990,116299,"Jersey City,  NJ",2010,Acura,TL,Jersey City, NJ,0,2.0,Personal,Acura TL
11995,34009,"Union City,  NJ",2019,Chevrolet,Cruze,Union City, NJ,0,1.0,Fleet,Chevrolet Cruze
22686,59360,"Secaucus,  NJ",2016,Audi,S3,Secaucus, NJ,1,1.0,Personal,Audi S3
13500,45031,"Newark,  NJ",2016,Ford,Escape,Newark, NJ,0,1.0,Fleet,Ford Escape
9950,140649,"Brooklyn,  NY",2010,Audi,S5,Brooklyn, NY,0,1.0,Personal,Audi S5
39995,6598,"New York,  NY",2019,Lexus,RX,New York, NY,0,1.0,Personal,Lexus RX
11992,114296,"Jersey City,  NJ",2013,BMW,5 Series,Jersey City, NJ,1,2.0,Fleet,BMW 5 Series
72995,7403,"New York,  NY",2019,Porsche,Cayenne,New York, NY,0,1.0,Personal,Porsche Cayenne
17995,98515,"Union City,  NJ",2015,Acura,MDX,Union City, NJ,0,2.0,Fleet,Acura MDX
169995,27267,"New York,  NY",2009,Rolls-Royce,Phantom,New York, NY,0,2.0,Personal,Rolls-Royce Phantom
32792,70001,"Jersey City,  NJ",2015,Cadillac,Escalade,Jersey City, NJ,1,3.0,Personal,Cadillac Escalade
28886,46176,"Secaucus,  NJ",2017,Mercedes-Benz,GLE,Secaucus, NJ,0,1.0,Personal,Mercedes-Benz GLE
17797,27679,"New York,  NY",2019,Ford,Escape,New York, NY,1,1.0,Personal,Ford Escape
2950,190210,"Brooklyn,  NY",2005,Volvo,XC90,Brooklyn, NY,3,3.0,Personal,Volvo XC90
13881,34631,"New York,  NY",2019,Volkswagen,Jetta,New York, NY,0,1.0,Personal,Volkswagen Jetta
49995,3945,"New York,  NY",2019,Porsche,Macan,New York, NY,0,1.0,Personal,Porsche Macan
6997,78072,"Jersey City,  NJ",2013,FIAT,500,Jersey City, NJ,0,2.0,Personal,FIAT 500
11542,64926,"Carlstadt,  NJ",2017,Ford,Escape,Carlstadt, NJ,0,1.0,Fleet,Ford Escape
38490,9113,"New York,  NY",2019,Lexus,RX,New York, NY,0,1.0,Personal,Lexus RX
27995,27246,"New York,  NY",2016,Lexus,RX,New York, NY,0,1.0,Personal,Lexus RX
29197,20689,"Jersey City,  NJ",2019,Ford,Ranger,Jersey City, NJ,0,1.0,Personal,Ford Ranger
29990,2553,"New York,  NY",2017,Jeep,Grand Cherokee,New York, NY,0,1.0,Personal,Jeep Grand Cherokee
149997,33454,"Jersey City,  NJ",2013,Ferrari,458 Italia,Jersey City, NJ,0,5.0,Fleet,Ferrari 458 Italia
3942,114400,"Carlstadt,  NJ",2007,Nissan,Murano,Carlstadt, NJ,3,2.0,Personal,Nissan Murano
20995,65490,"Union City,  NJ",2017,INFINITI,QX60,Union City, NJ,0,3.0,Personal,INFINITI QX60
4999,123702,"Brooklyn,  NY",2010,Volkswagen,Passat,Brooklyn, NY,0,3.0,Fleet,Volkswagen Passat
17497,30532,"Jersey City,  NJ",2020,Kia,Soul,Jersey City, NJ,0,1.0,Personal,Kia Soul
24386,29659,"Secaucus,  NJ",2017,Audi,A4,Secaucus, NJ,0,1.0,Personal,Audi A4
30797,11294,"Jersey City,  NJ",2020,Nissan,Pathfinder,Jersey City, NJ,0,1.0,Personal,Nissan Pathfinder
9999,107207,"Brooklyn,  NY",2013,Jeep,Grand Cherokee,Brooklyn, NY,0,3.0,Personal,Jeep Grand Cherokee
26537,18110,"New York,  NY",2017,Lexus,NX,New York, NY,0,1.0,Personal,Lexus NX
38995,7318,"New York,  NY",2019,Lexus,RX,New York, NY,0,1.0,Personal,Lexus RX
13998,61331,"Jersey City,  NJ",2009,INFINITI,G,Jersey City, NJ,0,2.0,Personal,INFINITI G
7720,134072,"Newark,  NJ",2010,BMW,5 Series,Newark, NJ,0,4.0,Fleet,BMW 5 Series
8950,107450,"Brooklyn,  NY",2016,Kia,Sedona,Brooklyn, NY,4,2.0,Fleet,Kia Sedona
12742,45426,"Carlstadt,  NJ",2018,Nissan,Altima,Carlstadt, NJ,0,1.0,Personal,Nissan Altima
11995,28547,"Newark,  NJ",2018,Nissan,Altima,Newark, NJ,0,2.0,Personal,Nissan Altima
38990,6245,"New York,  NY",2019,Lexus,RX,New York, NY,0,1.0,Personal,Lexus RX
27497,21660,"Jersey City,  NJ",2019,INFINITI,Q50,Jersey City, NJ,0,1.0,Personal,INFINITI Q50
12497,98795,"Jersey City,  NJ",2012,Audi,A5,Jersey City, NJ,0,2.0,Personal,Audi A5
